ID,#knockouts (pFBA),R_biomass_SC5_notrace (pFBA),R_EX_mal_L_e_ (pFBA),R_EX_glc_e_ (pFBA),BPCY (pFBA),CYIELD (pFBA),FVA~min~R_EX_mal_L_e_ (pFBA),FVA~max~R_EX_mal_L_e_ (pFBA),SOLUTION
sol_16#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],12.0,0.041657643338239264,0.022041059090261834,-1.15,7.984161551123339E-4,0.012777425559572078,0.0,0.022398203378543258,YKL029C YKL060C YKL085W YFR055W YER170W YNL277W YGR043C YLR354C YDR453C YLR142W YFL018C YOL126C 
sol_17#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],12.0,0.04248191037843297,0.3729255747746972,-1.15,0.01377616595252547,0.21618873899982446,0.0,0.3731223688228056,YKL029C YKL060C YKL085W YFR055W YER170W YNL277W YGR043C YLR354C YDR453C YLR142W YOL126C YNL071W 
sol_18#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],12.0,0.04248191330243655,0.37292682904704894,-1.15,0.013776213234547228,0.2161894661142313,0.0,0.3731223155045882,YKL029C YKL060C YKL085W YFR055W YER170W YNL277W YGR043C YLR354C YDR453C YLR142W YOL126C YBR221C 
sol_19#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],13.0,0.04248191330243655,0.37292682904704894,-1.15,0.013776213234547228,0.2161894661142313,0.0,0.3731223155045882,YLR043C YKL029C YKL060C YKL085W YFR055W YER170W YNL277W YGR043C YLR354C YER178W YDR453C YLR142W YOL126C 
sol_20#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],13.0,0.04248191330243655,0.37292682904704894,-1.15,0.013776213234547228,0.2161894661142313,0.0,0.3731223155045882,YLR043C YKL029C YKL060C YKL085W YFR055W YER170W YNL277W YGR043C YLR354C YDR453C YGR193C YLR142W YOL126C 
sol_21#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],13.0,0.04165764368518025,0.022041059273827403,-1.15,7.984161684113388E-4,0.012777425665986901,0.0,0.022398078930564225,YLR043C YKL029C YKL060C YKL085W YFR055W YER170W YNL277W YGR043C YLR354C YDR453C YLR142W YFL018C YOL126C 
sol_22#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],13.0,0.042481910350677735,0.3729255628683892,-1.15,0.013776165503696473,0.21618873209761694,0.0,0.373122368240729,YKL029C YLR043C YNL277W YGR043C YLR354C YKL060C YER170W YFR055W YKL085W YDR453C YLR142W YOL126C YNL071W 
sol_23#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],13.0,0.04248191330243655,0.37292682904704894,-1.15,0.013776213234547228,0.2161894661142313,0.0,0.3731223150389269,YLR043C YKL029C YKL060C YKL085W YFR055W YER170W YNL277W YGR043C YLR354C YDR453C YLR142W YOL126C YBR221C 
sol_24#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],11.0,0.07050109939820165,0.5441036073158168,-1.15,0.033356436958515194,0.3154223810526474,0.0,0.5444538516458124,YKL029C YBR196C YKL085W YFR055W YER170W YNL277W YGR209C YER178W YDR453C YLR142W YOL126C 
sol_25#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],11.0,0.07050109938519625,0.5441036014478754,-1.15,0.03335643659262598,0.3154223776509423,0.0,0.544453852577135,YKL029C YBR196C YKL085W YFR055W YER170W YNL277W YGR209C YDR453C YGR193C YLR142W YOL126C 
sol_26#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],11.0,0.06936659798416392,0.03670186699341996,-1.15,0.0022138118721746237,0.02127644463386664,0.0,0.037327523226849735,YKL029C YBR196C YKL085W YFR055W YER170W YNL277W YGR209C YDR453C YLR142W YFL018C YOL126C 
sol_27#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],11.0,0.07050109936871042,0.5441035940088713,-1.15,0.03335643612877558,0.31542237333847617,0.0,0.5444538529263809,YKL029C YBR196C YKL085W YFR055W YER170W YNL277W YGR209C YDR453C YLR142W YOL126C YNL071W 
sol_28#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],11.0,0.0705010993851982,0.5441036014482324,-1.15,0.033356436592648794,0.3154223776511493,0.0,0.544453852577135,YKL029C YBR196C YKL085W YFR055W YER170W YNL277W YGR209C YDR453C YLR142W YOL126C YBR221C 
sol_29#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],10.0,0.0705010993851982,0.5441036014482324,-1.15,0.033356436592648794,0.3154223776511493,0.0,0.544453852577135,YKL029C YBR196C YKL085W YFR055W YER170W YNL277W YER178W YDR453C YLR142W YOL126C 
sol_30#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],10.0,0.0705010993851982,0.5441036014482324,-1.15,0.033356436592648794,0.3154223776511493,0.0,0.544453852577135,YKL029C YBR196C YKL085W YFR055W YER170W YNL277W YDR453C YGR193C YLR142W YOL126C 
sol_31#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],10.0,0.06936659890182413,0.036701867478956894,-1.15,0.00221381193074844,0.021276444915337332,0.0,0.03732710180338472,YKL029C YBR196C YKL085W YFR055W YER170W YNL277W YDR453C YLR142W YFL018C YOL126C 
sol_32#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],10.0,0.07050109939820165,0.5441036073160026,-1.15,0.033356436958526595,0.31542238105275516,0.0,0.5444538516458124,YKL029C YBR196C YKL085W YFR055W YER170W YNL277W YDR453C YLR142W YOL126C YNL071W 
sol_33#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],10.0,0.07050109938519625,0.5441036014476166,-1.15,0.03335643659261011,0.3154223776507923,0.0,0.544453852577135,YKL029C YBR196C YKL085W YFR055W YER170W YNL277W YDR453C YLR142W YOL126C YBR221C 
sol_34#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],11.0,0.07050109938519625,0.5441036014476166,-1.15,0.03335643659261011,0.3154223776507923,0.0,0.544453852577135,YLR043C YKL029C YBR196C YKL085W YFR055W YER170W YNL277W YER178W YDR453C YLR142W YOL126C 
sol_35#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],11.0,0.07050109938519625,0.5441036014476166,-1.15,0.03335643659261011,0.3154223776507923,0.0,0.544453852577135,YLR043C YKL029C YBR196C YKL085W YFR055W YER170W YNL277W YDR453C YGR193C YLR142W YOL126C 
sol_36#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],11.0,0.06936659917590579,0.036701867623971283,-1.15,0.0022138119482427564,0.021276444999403645,0.0,0.03732699167449027,YLR043C YKL029C YBR196C YKL085W YFR055W YER170W YNL277W YDR453C YLR142W YFL018C YOL126C 
sol_37#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],11.0,0.07050109939820165,0.5441036073158168,-1.15,0.033356436958515194,0.3154223810526474,0.0,0.5444538515293971,YLR043C YKL029C YBR196C YKL085W YFR055W YER170W YNL277W YDR453C YLR142W YOL126C YNL071W 
sol_38#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],11.0,0.07050109938519498,0.544103601446925,-1.15,0.033356436592567124,0.31542237765039133,0.0,0.5444538524607196,YLR043C YKL029C YBR196C YKL085W YFR055W YER170W YNL277W YDR453C YLR142W YOL126C YBR221C 
sol_39#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],12.0,0.03221321635459128,0.8881894911102782,-1.15,0.024879513253051936,0.514892458614654,0.0,0.8885145838139579,YKL029C YLR027C YDR050C YKL085W YFR055W YLR303W YER081W YDR035W YIL074C YOL126C YFL030W YNL241C 
sol_40#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],12.0,0.011455493969199095,1.0616367825061077,-1.15,0.010575281529981434,0.615441613047019,0.0,1.061741718905978,YKL029C YLR027C YKL085W YGR192C YJR009C YER081W YIL074C YDR111C YOL126C YJL052W YFL030W YNL241C 
sol_41#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],11.0,0.03288283616103943,0.8697008157577527,-1.15,0.02486802559450828,0.5041743859465233,0.0,0.8700261426856741,YKL029C YLR027C YDR050C YLR438W YKL085W YJL121C YER081W YDR035W YIL074C YOL126C YFL030W 
sol_42#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],16.0,0.026090826580536484,0.6659809733633875,-1.15,0.015109560071270463,0.38607592658747103,0.0,0.6661270976765081,YKL029C YLR134W YGR087C YLR044C YFL053W YNL241C YLR027C YKL085W YER081W YML070W YMR250W YIL074C YOL126C YFL030W YLR174W YDL066W 
sol_43#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],15.0,0.03362306419263996,0.7741630721047474,-1.15,0.022634551886042853,0.44879018672738985,0.0,0.7743081054650247,YKL029C YLR134W YGR087C YLR044C YFL053W YNL241C YLR027C YKL085W YER081W YML070W YMR250W YIL074C YOL126C YFL030W YLR174W 
sol_44#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],18.0,0.029603003589380852,0.6752155502945087,-1.15,0.01738122465997749,0.39142930451855584,0.0,0.6753615647321567,YLR134W YKL029C YGR087C YHR208W YLR044C YFL053W YNL241C YKL218C YLR027C YKL085W YER081W YML070W YMR250W YCL064C YIL074C YOL126C YLR174W YFL030W 
sol_45#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],10.0,0.05182305073966482,0.7032732705855,-1.15,0.03169197076991513,0.4076946496147827,0.0,0.7041865270584822,YKL029C YLR027C YLR438W YKL085W YNL104C YER081W YIL074C YOL126C YFL030W YNL241C 
