ID,#knockouts (pFBA),R_biomass_SC5_notrace (pFBA),R_EX_fum_e_ (pFBA),R_EX_glc_e_ (pFBA),BPCY (pFBA),CYIELD (pFBA),FVA~min~R_EX_fum_e_ (pFBA),FVA~max~R_EX_fum_e_ (pFBA),SOLUTION
sol_16#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],9.0,0.08521875663439629,0.20733347465791271,-1.15,0.01536408775568386,0.12019331864226825,0.20713713260327005,0.20736286649000454,YBR011C YDR050C YLR438W YNL104C YLR058C YLR303W YER081W YIL074C YPL262W 
sol_17#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],6.0,0.07686788935713065,0.5030776217377406,-1.15,0.03362653475285659,0.2916392010073859,0.5029940431040272,0.5031855022535968,YKL029C YBR196C YDR148C YDR035W YDR111C YPL262W 
sol_18#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],6.0,0.07686789038654362,0.5030777122194764,-1.15,0.03362654125113031,0.2916392534605661,0.5029941472369417,0.5031854755011416,YKL029C YBR196C YDR035W YDR111C YPL262W YIL125W 
sol_19#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],9.0,0.07559264615267759,0.5340846059671241,-1.15,0.035106842290839185,0.30961426432876765,0.5340006889148524,0.5341924001081916,YKL029C YBR196C YLR438W YLR303W YDR148C YER081W YDR035W YIL074C YPL262W 
sol_20#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],6.0,0.07701504707502452,0.5022062303664643,-1.15,0.033632553454820746,0.2911340465892547,0.5021226610262836,0.5023140929105496,YKL029C YBR196C YLR438W YDR148C YDR035W YPL262W 
sol_21#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],8.0,0.07561254381003468,0.5339733297268935,-1.15,0.03510876677162159,0.30954975636341653,0.5338894715724658,0.5340806691179797,YKL029C YBR196C YLR303W YER081W YDR035W YIL074C YGR244C YPL262W 
sol_22#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],9.0,0.07559264609716705,0.5340846009828973,-1.15,0.035106841937432035,0.3096142614393608,0.5340006915577045,0.5341924020637587,YKL029C YBR196C YLR438W YLR303W YER081W YDR035W YIL074C YPL262W YIL125W 
sol_23#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],8.0,0.07561254272064238,0.5339732319383536,-1.15,0.03510875983618978,0.3095496996744079,0.533889356473004,0.5340806972573631,YKL029C YBR196C YOR142W YLR303W YER081W YDR035W YIL074C YPL262W 
sol_24#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],6.0,0.07701504851829818,0.5022063569663697,-1.15,0.033632562563445864,0.2911341199805042,0.502122799673922,0.5023140558028449,YKL029C YBR196C YLR438W YDR035W YPL262W YIL125W 
sol_25#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],8.0,0.07581872784742388,0.5308941862219403,-1.15,0.03500149723560076,0.30776474563590744,0.530810326270182,0.5310017633493783,YKL029C YBR196C YHR208W YDR300C YDR148C YER081W YIL074C YPL262W 
sol_26#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],7.0,0.07672516767963841,0.5039226690664953,-1.15,0.03362047937538938,0.2921290835168089,0.5038390777931596,0.5040306612690775,YKL029C YBR196C YHR208W YNL104C YDR300C YDR148C YPL262W 
sol_27#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],7.0,0.07581872784742388,0.5308941862219403,-1.15,0.03500149723560076,0.30776474563590744,0.530810326270182,0.5310017633493783,YKL029C YBR196C YHR208W YDR148C YER081W YIL074C YPL262W 
sol_28#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],7.0,0.07583835699231946,0.5307834534090998,-1.15,0.035003256543700415,0.30770055270092744,0.5306995904713754,0.5308911371909284,YKL029C YBR196C YDR148C YER081W YIL074C YLR142W YPL262W 
